Nº Código,Alíc.,Mínimo,Actividad ID,Descripción,Rama ID,Rama,Categoria ID,Categoria
513410,7.00,705.00,1454,Venta al por mayor de aparatos fotográficos e instrumentos de óptica,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513532,7.00,705.00,1456,Venta al por mayor de artículos de bazar y menaje,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513910,7.00,705.00,1460,Venta al por mayor de artículos de limpieza y saneamiento,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513320,8.40,705.00,1453,"Venta al por mayor de artículos de tocador, jabones, perfumes, cosméticos",19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513940,7.00,705.00,1463,Venta al por mayor de artículos para deportes y camping,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513992,7.00,705.00,1465,Venta al por mayor de artículos para kiosco y para salones de venta,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513930,8.40,705.00,1462,Venta al por mayor de bicicletas y rodados similares,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513999.4,7.00,705.00,1469,Venta al por mayor de cámaras y cubiertas,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
515150,7.00,705.00,1472,"Venta al por mayor de descartables de uso médico, paramédico, odontológico y ortopédico",19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513551.2,8.40,955.00,1458,"Venta al por mayor de discos, cassettes, DVD, videojuegos. Disquerías",19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513552,7.00,705.00,1459,"Venta al por mayor de equipos y aparatos de radio, televisión, comunicaciones y sus componentes",19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513551.1,7.00,705.00,1457,Venta al por mayor de instrumentos musicales,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513420,15.80,1570.00,1455,"Venta al por mayor  de joyas, relojes y artículos conexos",19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513920,7.00,705.00,1461,Venta al por mayor de juguetes y artículos de cotillón,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513999.3,8.40,705.00,1468,"Venta al por mayor de máquinas, equipos y aparatos de uso doméstico (incluidos los eléctricos)",19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
515420,7.00,705.00,1473,Venta al por mayor de muebles y accesorios excepto los metálicos,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513950,7.00,705.00,1464,"Venta al por mayor de papeles para pared, revestimiento para pisos de goma, plástico y textiles, y artículos similares para la decoración",19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513999.6,8.40,1140.00,1471,Venta al por mayor de Pirotecnia,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513999.5,7.00,705.00,1470,Venta al por mayor de productos n.c.p.,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513999.2,7.00,705.00,1467,Venta al por mayor de tarjetas de telefonía,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513999.1,7.00,705.00,1466,Venta al por mayor de tarjetas de transporte,19,ACTIVIDADES COMERCIALES,128,"Depósito, distribución y Venta por mayor de otros artículos"
513918,7.00,705.00,1452,Venta al por mayor de chatarra,19,ACTIVIDADES COMERCIALES,127,"Depósito, distribución y Venta por mayor de productos metálicos"
513916,7.00,705.00,1450,"Venta al por mayor de hierros, aceros, metales no ferrosos y subproductos, excepto chatarra",19,ACTIVIDADES COMERCIALES,127,"Depósito, distribución y Venta por mayor de productos metálicos"
513917,7.00,705.00,1451,Venta al por mayor de muebles de metal y sus accesorios,19,ACTIVIDADES COMERCIALES,127,"Depósito, distribución y Venta por mayor de productos metálicos"
513381,5.00,1255.00,1438,"Combustibles derivados del Petróleo y Gas natural Comprimido, en Estaciones de Servicios y otras actividades reguladas por la Ordenanza Nº 9.748/97 y sus modificatorias, localizadas en las zonas determinadas por el artículo 10° de dicha ordenanza",19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
514199.2,7.00,455.00,1444,Distribución y venta al por mayor de carbón y sus derivados,19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
514990,4.00,455.00,1449,Distribución y venta al por mayor de petróleo y sus derivados (excepto combustibles),19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
514932,7.00,455.00,1446,Distribución y venta al por mayor de productos de caucho,19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
514110.2,4.00,455.00,1441,"Fraccionamiento, distribución y venta al por mayor de aditivos y lubricantes",19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
514191,4.00,455.00,1442,Fraccionamiento y distribuidores al por mayor de gas licuado (incluye envasado de garrafas),19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
