id,categoria,codigo,nombre,minimo,alicuota_num
557,52,171200.2,"Acabado de textiles (incluye blanqueo, teñido y estampado)",577.00,7.00
368,27,523952.1,Activación de líneas teléfonos celulares,783.00,15.80
250,64,112000,"Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección",733.00,7.00
831,57,701090.4,"Administración de Consorcios, Urbanizaciones Residenciales Especiales, Barrios Cerrados y similares",564.00,8.40
133,57,701090.2,"Administración, locación, sublocación y venta de inmuebles de terceros.",564.00,10.50
677,51,632003,Agencias aéreas. Servicios conexos propios,577.00,7.00
146,51,632004,Agencias aéreas. Servicios por comisión,577.00,15.80
286,51,634110,Agencias de turismo y servicios conexos (por comisiones),577.00,15.80
420,51,634100,Agencias de turismo y servicios conexos propios,577.00,7.00
922,77,662040,Agente de seguros y servicios relacionados con seguros n.c.p.,532.00,13.70
57,30,522120.3,Almacén de comestibles,373.00,7.00
134,8,551222.8,"Alojamiento y/o alquiler  temporario de departamentos, casas amobladas y/o similar. Con un mínimo por cada departamento y/o habitación de $ 350.",0.00,10.50
15,14,711400,Alquiler de automóviles sin chofer,471.00,9.30
748,14,712300,Alquiler de computadoras y sus equipos y máquinas de oficina cálculo y contabilidad,749.00,11.60
316,14,713009.1,Alquiler de cosas muebles n.c.p.,471.00,9.30
852,36,455000,Alquiler de equipo de construcción o demolición,577.00,7.60
531,14,711200,"Alquiler de equipo de transporte para vía acuática, sin operarios ni tripulación",471.00,9.30
621,14,711300,"Alquiler de equipo de transporte para vía aérea, sin operarios ni tripulación",471.00,9.30
817,14,711100,"Alquiler de equipo de transporte para vía terrestre, sin operarios ni tripulación",471.00,9.30
550,14,713001,Alquiler de ropa en general (excepto ropa blanca),471.00,9.30
483,14,713009.2,"Alquiler de vajilla, mobiliario y elemento de fiesta",471.00,9.30
307,16,713009.3,Alquiler de video películas y video juegos,471.00,7.00
744,14,712902,Alquiler y arrendamiento de maquinaria petrolera y minera (sin personal),471.00,9.30
900,14,712100,Alquiler y arrendamiento de maquinaria y equipo agrícola (sin personal),471.00,9.30
